Date,Coin
2015-01-01,bitbay
2015-01-01,bitcoin
2015-01-01,bitcoindark
2015-01-01,bitshares
2015-01-01,blackcoin
2015-01-01,burst
2015-01-01,bytecoin-bcn
2015-01-01,counterparty
2015-01-01,dash
2015-01-01,digitalnote
2015-01-01,dogecoin
2015-01-01,emercoin
2015-01-01,faircoin
2015-01-01,feathercoin
2015-01-01,gulden
2015-01-01,jinn
2015-01-01,litecoin
2015-01-01,maidsafecoin
2015-01-01,monacoin
2015-01-01,monero
2015-01-01,namecoin
2015-01-01,nxt
2015-01-01,peercoin
2015-01-01,potcoin
2015-01-01,reddcoin
2015-01-01,ripple
2015-01-01,stellar
2015-01-01,supernet-unity
2015-01-01,vertcoin
2015-01-01,viacoin
2015-04-01,bitcoin
2015-04-01,bitcoindark
2015-04-01,bitshares
2015-04-01,blackcoin
2015-04-01,blocknet
2015-04-01,burst
2015-04-01,bytecoin-bcn
2015-04-01,counterparty
2015-04-01,dash
2015-04-01,digibyte
2015-04-01,digitalnote
2015-04-01,dogecoin
2015-04-01,faircoin
2015-04-01,feathercoin
2015-04-01,gulden
2015-04-01,jinn
2015-04-01,litecoin
2015-04-01,maidsafecoin
2015-04-01,monacoin
2015-04-01,monero
2015-04-01,namecoin
2015-04-01,nav-coin
2015-04-01,nxt
2015-04-01,peercoin
2015-04-01,potcoin
2015-04-01,reddcoin
2015-04-01,ripple
2015-04-01,stellar
2015-04-01,supernet-unity
2015-04-01,tether
2015-07-01,bitcoin
2015-07-01,bitcoindark
2015-07-01,bitshares
2015-07-01,blackcoin
2015-07-01,blocknet
2015-07-01,bytecoin-bcn
2015-07-01,counterparty
2015-07-01,dash
2015-07-01,digibyte
2015-07-01,digitalnote
2015-07-01,dogecoin
2015-07-01,emercoin
2015-07-01,faircoin
2015-07-01,feathercoin
2015-07-01,jinn
2015-07-01,litecoin
2015-07-01,maidsafecoin
2015-07-01,monacoin
2015-07-01,monero
2015-07-01,namecoin
2015-07-01,nem
2015-07-01,nxt
2015-07-01,peercoin
2015-07-01,reddcoin
2015-07-01,ripple
